x,y
2898,3487
1709,3487
2965,3481
2593,3479
2116,3479
1492,3481
2183,3474
2932,3480
2698,3470
1164,3467
1750,3468
4105,3463
1627,3463
2515,3464
1535,3461
2637,3461
1853,3459
2150,3459
1674,3457
2091,3449
1793,3450
1889,3441
1579,3439
1902,3436
1716,3436
2961,3443
2125,3431
1498,3430
3026,3420
3035,3413
1759,3416
1626,3417
2161,3413
3390,3410
1863,3410
3332,3404
1681,3401
2102,3398
1801,3398
2276,3396
1909,3395
1898,3393
1590,3387
2138,3381
1841,3381
1725,3382
2310,3378
2174,3366
1636,3365
1879,3363
3269,3363
1768,3364
2284,3361
1228,3350
1469,3350
2319,3347
1909,3345
1690,3346
3299,3340
1702,3341
2566,3337
1959,3333
1853,3331
1735,3328
1184,3320
1884,3314
1780,3311
3228,3305
1791,3302
1923,3299
1823,3297
1705,3292
2730,3291
1832,3287
1610,3293
1139,3286
2170,3286
1866,3282
1978,3279
1749,3275
2206,3273
1192,3272
1904,3267
1760,3266
1794,3260
1937,3253
1619,3253
1805,3251
1837,3247
2188,3240
1623,3244
1718,3238
1150,3237
1847,3237
2402,3231
1672,3230
2776,3222
1203,3223
1763,3222
1916,3217
1809,3208
1257,3208
1953,3206
2357,3200
1853,3197
2663,3193
1675,3193
1865,3185
1898,3185
1933,3172
1780,3169
1970,3161
2380,3158
1826,3158
1985,3149
1871,3147
1696,3137
1173,3137
1227,3127
1765,3122
2599,3113
2001,3117
1811,3111
2631,3112
2595,3104
1846,3109
3363,3102
1890,3099
1935,3090
1991,3071
3349,3066
1866,3059
1835,3055
4293,3060
1914,3052
2365,3049
2837,3046
1959,3044
3559,3047
4410,3036
2452,3035
2042,3032
3301,3024
3408,3015
1656,3016
2950,3020
1811,3013
3481,3009
2396,3008
1750,3011
2992,3004
1855,3010
3370,3004
1899,3006
1947,2998
1990,2996
3513,2992
2207,2990
2038,2985
2109,2983
3077,2982
2394,2979
1723,2980
1632,2978
1834,2966
2431,2968
1881,2959
1924,2959
1970,2954
3093,2950
2014,2951
4357,2950
1695,2938
1857,2920
1904,2916
4334,2911
1996,2910
2121,2909
2041,2909
6085,2904
2706,2897
2714,2896
1252,2895
1884,2872
2068,2867
2024,2867
1978,2867
2143,2862
2189,2861
2413,2831
2762,2831
2097,2826
2053,2824
2008,2823
1961,2823
2382,2821
2228,2818
2180,2816
2604,2813
2810,2806
1859,2807
2775,2794
2849,2789
2038,2781
1992,2780
2890,2774
2822,2772
1791,2765
2575,2759
2451,2758
1314,2755
2871,2750
2161,2748
2648,2745
2116,2743
2024,2736
1977,2735
2502,2717
2660,2705
2930,2704
2350,2694
2993,2687
3031,2682
2704,2680
2323,2680
3046,2677
2783,2675
2748,2658
2395,2657
2828,2657
2874,2640
2795,2638
3031,2633
2276,2632
2921,2626
2841,2620
2966,2614
2888,2604
3012,2603
2807,2601
2313,2599
3097,2592
2936,2590
3112,2588
2435,2586
2269,2588
2985,2578
3034,2568
2351,2568
3085,2561
3269,2556
3219,2555
2313,2550
2265,2543
3055,2536
2395,2530
3106,2529
3157,2525
2512,2524
2349,2524
1980,2520
2352,2514
2542,2514
3024,2510
2309,2503
2438,2502
2554,2500
3274,2496
3287,2495
2261,2495
2393,2490
2516,2485
2597,2476
2351,2469
2875,2467
2640,2464
2561,2460
2438,2457
2641,2454
2520,2452
2049,2449
2394,2442
2258,2447
2604,2438
2685,2434
2002,2437
2347,2430
2483,2427
4310,2424
2649,2416
2436,2419
2565,2417
2729,2416
2085,2416
2601,2412
2441,2409
2613,2403
2528,2403
2038,2402
3756,2400
2774,2398
2396,2394
2474,2395
2821,2383
2486,2381
2348,2383
2574,2379
2122,2383
2740,2377
2868,2370
2916,2369
2788,2362
2614,2365
2444,2363
3261,2360
3535,2361
2915,2358
2621,2356
2836,2351
2394,2353
3489,2349
3621,2349
2962,2347
3048,2345
2661,2345
2234,2344
3444,2341
2574,2342
3703,2340
3009,2339
2883,2334
3959,2336
2669,2336
3573,2335
2491,2335
3397,2333
2581,2334
2243,2336
2115,2335
3058,2331
2932,2323
3349,2329
3106,2326
3301,2325
3155,2323
3655,2323
3524,2323
3252,2323
2442,2324
2717,2318
3740,2314
3474,2312
2981,2310
2630,2311
3029,2305
2539,2310
3607,2308
2370,2309
3079,2299
3426,2304
3129,2303
3226,2301
3175,2300
3691,2298
3376,2298
3558,2296
2582,2297
3327,2294
3129,2293
2805,2293
3278,2291
3776,2290
3228,2290
2679,2292
2497,2288
2589,2287
3506,2283
2814,2286
3641,2281
2719,2282
3052,2276
3456,2273
2729,2273
3727,2271
2540,2273
3591,2267
3405,2266
3152,2267
3051,2266
6279,2264
2769,2265
2639,2266
3356,2261
2547,2263
3101,2261
3152,2257
2780,2256
3676,2254
3539,2253
2682,2255
3993,2249
4071,2250
2820,2250
2590,2250
4288,2246
3488,2242
2690,2245
3383,2240
2831,2242
3626,2238
2871,2237
2597,2239
4200,2236
2732,2236
2488,2236
2399,2233
4474,2230
2882,2229
2641,2228
4029,2226
2924,2225
2742,2226
3573,2223
2269,2222
2783,2220
2933,2219
2651,2218
4245,2215
2529,2216
2442,2212
2794,2211
4158,2207
3904,2206
3413,2206
2835,2205
4071,2203
3989,2202
3308,2195
2846,2198
2702,2198
4292,2196
4436,2193
2890,2194
3150,2194
2311,2195
3860,2187
3362,2188
2898,2184
3498,2182
4115,2180
3947,2180
2756,2182
4027,2178
2624,2178
2953,2176
2800,2176
3445,2172
2267,2173
2355,2170
4246,2166
3006,2167
3386,2162
3114,2159
2809,2166
4562,2163
2853,2162
3902,2160
4387,2158
3119,2155
2657,2158
4073,2156
3985,2156
3774,2154
3283,2154
3229,2152
2863,2152
3170,2147
2700,2148
4291,2144
2400,2145
4614,2144
3856,2140
2918,2141
3478,2138
4207,2136
3942,2135
4117,2132
4029,2131
2973,2132
2749,2131
3424,2128
4340,2124
4811,2127
4664,2126
3812,2123
3362,2122
3305,2119
2661,2118
5165,2117
3251,2115
3141,2117
3897,2113
4577,2111
4161,2108
2846,2110
3983,2108
4729,2106
4867,2111
3767,2106
3717,2102
2708,2101
4488,2100
3552,2098
3852,2095
2878,2094
4292,2092
3722,2091
3539,2088
3937,2086
5443,2086
4206,2084
3796,2085
3508,2085
3674,2079
2929,2082
4025,2082
2757,2084
4109,2080
2980,2081
5289,2078
3454,2078
4538,2078
3805,2077
3400,2073
3028,2073
3750,2071
2988,2072
4450,2070
3259,2068
4829,2069
4362,2067
3890,2066
3315,2066
5045,2067
3085,2066
3628,2064
4248,2061
3758,2060
5353,2060
3978,2059
3218,2059
1928,2057
3703,2056
3276,2056
4590,2056
4887,2050
2900,2046
4500,2047
3710,2045
3534,2043
4019,2042
3484,2034
4411,2041
4324,2040
3930,2037
2995,2038
4642,2037
2952,2035
5016,2035
4945,2034
4198,2034
2644,2031
3794,2029
3045,2030
3879,2027
3336,2027
3739,2025
3286,2026
4550,2024
3389,2021
3091,2020
3615,2019
5538,2019
4462,2016
2691,2016
3747,2013
4373,2012
4848,2010
3827,2008
3566,2008
3832,1998
4151,2004
3511,2005
