solution_id,optical_efficiency,total_cost_usd,peak_flux_kw_m2,helio_az_spacing,helio_rad_spacing
32,0.6383635178358514,281452904.61163133,713.4555957417083,2.091426280029404,1.7155002588245554
33,0.6298085209475119,331435790.08836335,685.4529928069759,2.6606367613313573,1.7659581275286975
34,0.6292726902559799,306533977.0270582,697.5282380444061,2.0689404925944923,2.003537319863666
35,0.6469907487459544,267932539.4876906,724.2819015088387,2.1955166258072376,1.497319459006343
36,0.6356014623549717,306473858.1091186,697.5612930087425,2.8,1.479951254834275
37,0.6231172238947987,352069741.7207464,677.4105713144346,2.3441388052600645,2.2
38,0.6241720935178605,352680700.3424986,677.1941827227122,2.5509486623387163,2.026964441178839
39,0.636,217200000.0,791.7592592592591,1.8,1.2
40,0.6209946326485304,362576568.3897748,673.8410856289702,2.4502683675734827,2.2
41,0.618,298200000.00000006,702.3232323232323,1.8,2.2
42,0.6469907487459544,267932539.4876906,724.2819015088387,2.1955166258072376,1.497319459006343
43,0.636,217200000.0,791.7592592592591,1.8,1.2
44,0.636,217200000.0,791.7592592592591,1.8,1.2
45,0.618,298200000.00000006,702.3232323232323,1.8,2.2
46,0.6392619839581177,226189575.38935342,775.1024246483377,1.8575416764785395,1.2703716809515657
47,0.618,298200000.00000006,702.3232323232323,1.8,2.2
48,0.632,271200000.0,721.4880952380952,2.8,1.2
49,0.6186039268209179,377863507.35214496,669.167144457096,2.8,2.046535772636071
50,0.614,397199999.99999994,663.9935064935065,2.8,2.2
51,0.614,397199999.99999994,663.9935064935065,2.8,2.2
52,0.6350320439128566,310256640.1294743,695.5221157431613,2.696512840801563,1.5679233090370714
53,0.618,298200000.00000006,702.3232323232323,1.8,2.2
54,0.614,397199999.99999994,663.9935064935065,2.8,2.2
55,0.614,397199999.99999994,663.9935064935065,2.8,2.2
56,0.632,271200000.0,721.4880952380952,2.8,1.2
57,0.6200833565764942,370649868.7735029,671.3016557462557,2.6907397999654825,2.07006158080654
58,0.6326374061442757,309872600.7395453,695.725433398547,2.1608501811771887,1.9526532493089408
59,0.6366685260843121,303460023.2919244,699.2461439654785,2.256616472272546,1.8066381490078998
60,0.614,397199999.99999994,663.9935064935065,2.8,2.2
61,0.614,397199999.99999994,663.9935064935065,2.8,2.2
62,0.6469907487459544,267932539.4876906,724.2819015088387,2.1955166258072376,1.497319459006343
63,0.636,217200000.0,791.7592592592591,1.8,1.2
64,0.636,217200000.0,791.7592592592591,1.8,1.2
65,0.6209946326485304,362576568.3897748,673.8410856289702,2.4502683675734827,2.2
66,0.632,271200000.0,721.4880952380952,2.8,1.2
67,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
68,0.636,217200000.0,791.7592592592591,1.8,1.2
69,0.636,217200000.0,791.7592592592591,1.8,1.2
70,0.6225495033026734,285916341.08278185,710.2689353874904,1.8,2.048349889910887
71,0.629394090599544,267435955.3812312,724.7173403227706,1.8,1.8201969800151996
72,0.632,271200000.0,721.4880952380952,2.8,1.2
73,0.6230830114196015,284475869.1670759,711.2784552946953,1.8,2.0305662860132823
74,0.636,217200000.0,791.7592592592591,1.8,1.2
75,0.6393036301966487,226119801.53095156,775.2208421434135,1.9651815098324361,1.2
76,0.632,271200000.0,721.4880952380952,2.8,1.2
77,0.6363403300376647,265766634.7712319,726.2028642906864,1.9319864418571109,1.6766466266492537
78,0.618,298200000.00000006,702.3232323232323,1.8,2.2
79,0.614,397199999.99999994,663.9935064935065,2.8,2.2
80,0.614,397199999.99999994,663.9935064935065,2.8,2.2
81,0.614,397199999.99999994,663.9935064935065,2.8,2.2
82,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
83,0.636,217200000.0,791.7592592592591,1.8,1.2
84,0.636,217200000.0,791.7592592592591,1.8,1.2
85,0.6409820016617717,230651404.48678336,767.8401016571314,1.8,1.3660667220590537
86,0.6363639769791395,218182737.84367648,789.7898420845651,1.8,1.2121325659713145
87,0.6414736327823348,231978808.51230398,765.7912439334322,2.07368163911674,1.2
88,0.632,271200000.0,721.4880952380952,2.8,1.2
89,0.6371201035932682,220224279.70182425,785.8220249314686,1.856005179663412,1.2
90,0.636,217200000.0,791.7592592592591,1.8,1.2
91,0.636,217200000.0,791.7592592592591,1.8,1.2
92,0.6439103325161447,238557897.7935908,756.3135890221046,2.1955166258072376,1.2
93,0.6316783035181546,261268580.50098258,730.3804216916229,1.8,1.7440565493948466
94,0.636,217200000.0,791.7592592592591,1.8,1.2
95,0.6365281016149241,218625874.36029503,788.9146306590247,1.826405080746205,1.2
96,0.636,217200000.0,791.7592592592591,1.8,1.2
97,0.6364474429399125,303879213.59425247,699.0084935440348,2.7435444526328903,1.4893889335809907
98,0.614,397199999.99999994,663.9935064935065,2.8,2.2
99,0.632,271200000.0,721.4880952380952,2.8,1.2
100,0.614,397199999.99999994,663.9935064935065,2.8,2.2
101,0.614,397199999.99999994,663.9935064935065,2.8,2.2
102,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
103,0.636,217200000.0,791.7592592592591,1.8,1.2
104,0.636,217200000.0,791.7592592592591,1.8,1.2
105,0.632,271200000.0,721.4880952380952,2.8,1.2
106,0.626544432181915,344513384.8359571,680.1842308376129,2.8,1.7818522606028344
107,0.628477865404979,331328099.3100241,685.499086787049,2.2621884620978507,2.075945511768802
108,0.627518455892499,337433542.9017435,682.9579100113474,2.3843670917564386,2.026473409079076
109,0.6371201035932682,220224279.70182425,785.8220249314686,1.856005179663412,1.2
110,0.6206670324115587,369198463.87145334,671.746058955907,2.8,1.9777655862813757
111,0.632,271200000.0,721.4880952380952,2.8,1.2
112,0.632,271200000.0,721.4880952380952,2.8,1.2
113,0.636,217200000.0,791.7592592592591,1.8,1.2
114,0.626460897857756,312139425.194991,694.5370938608312,2.048916035015895,2.0839140947520622
115,0.6343470808254282,313740104.6975486,693.7147190296836,2.5234625334926477,1.7061222834906293
116,0.614,397199999.99999994,663.9935064935065,2.8,2.2
117,0.6379006880880793,296817110.0300668,703.1626093580418,2.8,1.4033103970640222
118,0.636,217200000.0,791.7592592592591,1.8,1.2
119,0.6409809319534983,246951483.7255548,745.6481014538172,2.3509534023250884,1.2
120,0.614,397199999.99999994,663.9935064935065,2.8,2.2
121,0.614,397199999.99999994,663.9935064935065,2.8,2.2
122,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
123,0.636,217200000.0,791.7592592592591,1.8,1.2
124,0.636,217200000.0,791.7592592592591,1.8,1.2
125,0.6336415726569539,278094605.1592063,715.9718698543857,2.8,1.254719088565129
126,0.636,217200000.0,791.7592592592591,1.8,1.2
127,0.632,271200000.0,721.4880952380952,2.8,1.2
128,0.636,217200000.0,791.7592592592591,1.8,1.2
129,0.6246879196989158,331305202.50963336,685.5088931690079,2.134395984945791,2.2
130,0.6422040615756066,243649033.7458622,749.671649430823,2.28979692121967,1.2
131,0.6389496474398962,225164048.0877199,776.8587278424978,1.8,1.2983215813298752
132,0.632,271200000.0,721.4880952380952,2.8,1.2
133,0.636,217200000.0,791.7592592592591,1.8,1.2
134,0.632,271200000.0,721.4880952380952,2.8,1.2
135,0.636,217200000.0,791.7592592592591,1.8,1.2
136,0.6371084311575937,220192764.12550315,785.8820478896429,1.855421557879688,1.2
137,0.632,271200000.0,721.4880952380952,2.8,1.2
138,0.636,217200000.0,791.7592592592591,1.8,1.2
